Sketch Map , BaseId , SketchId , GenId , Generalization Type
CM_Sketch_4.jpg,56 55,S13,g.55.56,Amalgamation
CM_Sketch_4.jpg,57,S28,g.57,No generalization
CM_Sketch_4.jpg,59,S29,g.59,No generalization
CM_Sketch_4.jpg,61,S30,g.61,No generalization
CM_Sketch_4.jpg,63,S31,g.63,No generalization
CM_Sketch_4.jpg,62,S32,g.62,No generalization
CM_Sketch_4.jpg,66,S33,g.66,No generalization
CM_Sketch_4.jpg,65,S34,g.65,No generalization
CM_Sketch_4.jpg,47,S12,g.47,No generalization
CM_Sketch_4.jpg,45 46,S25,g.45.46,OmissionMerge
CM_Sketch_4.jpg,15,S24,g.15,No generalization
CM_Sketch_4.jpg,78,S23,g.78,No generalization
CM_Sketch_4.jpg,35,S22,g.35,No generalization
CM_Sketch_4.jpg,34,S21,g.34,No generalization
CM_Sketch_4.jpg,32,S26,g.32,No generalization
CM_Sketch_4.jpg,33,S27,g.33,No generalization
CM_Sketch_4.jpg,44,S20,g.44,No generalization
CM_Sketch_4.jpg,40 37,S19,g.37.40,OmissionMerge
CM_Sketch_4.jpg,42,S18,g.42,No generalization
CM_Sketch_4.jpg,43,S17,g.43,No generalization
CM_Sketch_4.jpg,26,S14,g.26,No generalization
CM_Sketch_4.jpg,39,S16,g.39,No generalization
CM_Sketch_4.jpg,Features missing in sketch map,"3,4,5,6,7,10,12,13,19,20,21,22,23,24,25,27,28,29,30,31,36,41,53,58,60,64,70,72,73,74,75,76"
CM_Sketch_4.jpg,Features drawn extra in sketch map, 
   
AS_Sketch_8.jpg,32,S0,g.32,No generalization
AS_Sketch_8.jpg,33,S1,g.33,No generalization
AS_Sketch_8.jpg,44,S3,g.44,No generalization
AS_Sketch_8.jpg,42,S4,g.42,No generalization
AS_Sketch_8.jpg,43,S5,g.43,No generalization
AS_Sketch_8.jpg,65,S7,g.65,No generalization
AS_Sketch_8.jpg,66,S9,g.66,No generalization
AS_Sketch_8.jpg,61,S10,g.61,No generalization
AS_Sketch_8.jpg,59,S11,g.59,No generalization
AS_Sketch_8.jpg,55,S12,g.55,No generalization
