Source,Target,Actual(N/S),Actual(E/W),Observed(N/S),Observed(E/W),Actual D,Actual D ratio,Actual Angle,Observed D,Observed D ratio,Observed Angle,O-A Distance Ratio,O-A Angle,ABS(O-A) Distance Ratio, ABS(O-A) Angle
30_54,27_71,N,E,N,E,243.515913237718,0.318567596787726,-123.951094328345,120.353645561736,0.210328131159273,-98.6013848587149,-0.108239465628453,25.3497094696301,0.108239465628453,25.3497094696301
30_54,26_72,S,E,S,E,504.876222454574,0.66047923819094,-82.0303896056786,456.934349770292,0.798531256789934,-84.7261040426482,0.138052018598994,-2.69571443696961,0.138052018598994,2.69571443696961
30_54,26_73,S,E,S,E,442.570898275067,0.578971392863519,-80.8994962556338,397.226635562118,0.694186997946894,-83.9305952987555,0.115215605083375,-3.0310990431217,0.115215605083375,3.0310990431217
30_54,26_74,S,E,S,E,379.511528151649,0.49647710438737,-79.3710705608451,337.622570335575,0.590023874428016,-82.8539345045385,0.0935467700406459,-3.4828639436934,0.0935467700406459,3.4828639436934
30_54,26_75,N,E,S,E,373.192979569552,0.488211177080106,-91.8426603066537,335.001492533989,0.585443320236595,-89.8289683303501,0.097232143156489,2.0136919763036,0.097232143156489,2.0136919763036
30_54,26_76,N,E,N,E,384.662189459791,0.503215201183536,-104.144621231821,337.379608156747,0.58959927755954,-96.8090501796134,0.086384076376004,7.33557105220761,0.086384076376004,7.33557105220761
30_54,26_77,N,E,N,E,446.995525704676,0.584759691903983,-102.13951939565,397.020150622106,0.693826148125166,-95.782392322364,0.109066456221183,6.35712707328599,0.109066456221183,6.35712707328599
30_54,26_78,N,E,N,E,508.759275099727,0.665559048922484,-100.647327710378,456.754857664371,0.798217579218972,-95.0240752585396,0.132658530296488,5.6232524518384,0.132658530296488,5.6232524518384
30_54,26_79,N,E,S,E,500.14397926997,0.654288516119883,-91.3748347805694,455.001098899772,0.795152738085654,-89.8740754126137,0.140864221965771,1.50075936795569,0.140864221965771,1.50075936795569
30_55,29_56,N,E,N,E,137.244307714382,0.17954304792675,-133.228530259966,65.7343137181792,0.114876249014742,-103.190610712207,-0.064666798912008,30.037919547759,0.064666798912008,30.037919547759
30_55,29_57,N,E,N,E,98.0815986819138,0.128310379251042,-163.412661443073,25,0.0436896053662505,-126.869897645844,-0.0846207738847915,36.542763797229,0.0846207738847915,36.542763797229
30_55,29_58,N,W,N,W,104.216121593542,0.136335564116431,154.418470742061,28.3019433961698,0.0494600295230647,122.005383208084,-0.0868755345933663,-32.413087533977,0.0868755345933663,32.413087533977
30_55,29_59,N,W,N,W,164.283291907607,0.214915455830164,164.102510258075,36.1247837363769,0.063131101815338,138.36646066343,-0.151784354014826,-25.736049594645,0.151784354014826,25.736049594645
30_55,29_60,N,W,N,W,227.49505489131,0.297609104695632,168.591281797118,46.6476151587624,0.0815206359025222,149.036243467926,-0.21608846879311,-19.555038329192,0.21608846879311,19.555038329192
30_55,29_61,N,E,N,E,224.750973301563,0.294019296268691,-172.843363466939,44.7213595499958,0.0781543420072606,-153.434948822922,-0.21586495426143,19.408414644017,0.21586495426143,19.408414644017
30_55,29_62,N,E,N,E,244.395171801736,0.319717843126744,-155.847081217228,75.4718490564528,0.131893412061506,-122.005383208084,-0.187824431065238,33.841698009144,0.187824431065238,33.841698009144
30_55,29_63,N,E,N,E,186.986630538122,0.244615970800292,-147.66981426495,69.462219947249,0.12139107909436,-112.873665190627,-0.123224891705932,34.796149074323,0.123224891705932,34.796149074323
30_55,27_64,N,E,N,E,237.54788990854,0.310760226730175,-121.749714313727,119.94165248153,0.209608138555759,-97.1842673924269,-0.101152088174416,24.5654469213001,0.101152088174416,24.5654469213001
30_55,27_65,N,E,N,E,201.467118905294,0.263559350385261,-128.348903974936,100.129915609672,0.174985459933701,-98.6156481841641,-0.08857389045156,29.7332557907719,0.08857389045156,29.7332557907719
30_55,27_66,N,E,N,E,168.505192798323,0.220438547946606,-137.886418543865,80.4114419718985,0.140525766667336,-100.750966993188,-0.07991278127927,37.135451550677,0.07991278127927,37.135451550677
